VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
269,1,50,161,<General knowledge> What does CPU stand for in computers?  ,<Kiến thức chung> CPU của máy tính viết tắt là gì?,<General knowledge> What does CPU stand for in computers?  ,<ความรู้ทั่วไป> CPU ในคอมพิวเตอร์ย่อมาจากอะไร?  ,<Pengetahuan umum> Apa kepanjangan CPU pada komputer?  ,<Pangunahing kaalaman> Ano ang ibig sabihin ng CPU sa computer?  ,CPU dalam komputer ialah singkatan bagi apa?,CPU,CPU,CPU  ,CPU  ,CPU  ,CPU  ,CPU  ,GDP  ,GDP,GDP  ,GDP  ,PDB  ,GDP  ,KDNK  ,Iron  ,Sắt,Iron  ,เหล็ก  ,Besi  ,Bakal  ,Zat besi  ,CPV,CPV,CPV,CPV,CPV,CPV,CPV,,
270,1,50,162,"<General knowledge> Which is heavier, one kilogram of iron or one kilogram of wood?  ",<Kiến thức chung> Một kilogram sắt và một kilogram gỗ cái nào nặng hơn?,"<General knowledge> Which is heavier, one kilogram of iron or one kilogram of wood?  ",<ความรู้ทั่วไป> หนึ่งกิโลกรัมของเหล็กกับหนึ่งกิโลกรัมของไม้ อันไหนหนักกว่ากัน?  ,"<Pengetahuan umum> Mana yang lebih berat, satu kilogram besi atau satu kilogram kayu?  ","<Pangunahing kaalaman> Alin ang mas mabigat, isang kilo ng bakal o isang kilo ng kahoy?  ","Antara satu kilogram besi dan satu kilogram kayu, mana lebih berat?",Cùng trọng lượng,Cùng trọng lượng,Same weight  ,น้ำหนักเท่ากัน  ,Bobot yang sama  ,Parehong timbang  ,Berat yang sama  ,Wood  ,Gỗ,Wood  ,ไม้  ,Kayu  ,Kahoy  ,Kayu  ,Protein  ,Protein,Protein  ,โปรตีน  ,Protein  ,Protina  ,Protein  ,Cannot compare,Không thể so sánh,Cannot compare,ไม่สามารถเปรียบเทียบ,Tidak bisa dibandingkan,Hindi maihahambing,Tidak boleh dibandingkan,,
271,2,50,346,<General knowledge> Which product in the photosynthesis process is not synthesized in the chloroplast?  ,<Kiến thức chung> Sản phẩm nào trong quá trình quang hợp không được tổng hợp trong lục lạp?,<General knowledge> Which product in the photosynthesis process is not synthesized in the chloroplast?  ,<ความรู้ทั่วไป> ผลิตภัณฑ์ใดในกระบวนการสังเคราะห์ด้วยแสงที่ไม่ได้ถูกสร้างขึ้นในคลอโรพลาสต์?  ,<Pengetahuan umum> Produk apa dalam proses fotosintesis yang tidak disintesis di kloroplas?  ,<Pangunahing kaalaman> Anong produkto sa proseso ng photosynthesis ang hindi ginawa sa chloroplast?  ,Apakah produk yang tidak disintesis dalam kloroplas semasa fotosintesis?,Saccarose,Saccarose,Sucrose  ,ซูโครส  ,Sukrosa  ,Sukrosa  ,Sukrosa  ,Starch  ,Tinh bột,Starch  ,แป้ง  ,Pati  ,Almirol  ,Kanji  ,"When an object falls freely, inertia is lost  ","Khi vật thể làm rơi tự do, quán tính mất đi","When an object falls freely, inertia is lost  ",เมื่อวัตถุร่วงอิสระ ความเฉื่อยจะสูญเสีย  ,"Ketika benda jatuh bebas, inersia hilang  ","Kapag ang bagay ay bumagsak ng malaya, nawawala ang inertia  ","Apabila objek jatuh bebas, inersia hilang  ",Pure quality,Son chất,Pure quality,คุณภาพบริสุทธิ์,Kualitas murni,Purong kalidad,Kualiti tulen,,
272,2,50,347,<General knowledge> Which statement about inertia is correct?  ,<Kiến thức chung> Câu nào đúng về quán tính?,<General knowledge> Which statement about inertia is correct?  ,<ความรู้ทั่วไป> ข้อใดถูกต้องเกี่ยวกับความเฉื่อย?  ,<Pengetahuan umum> Pernyataan mana yang benar tentang inersia?  ,<Pangunahing kaalaman> Alin sa mga pahayag tungkol sa inertia ang tama?  ,Pernyataan manakah yang betul mengenai inersia?,Vật thể có khối lượng càng lớn thì quán tính càng lớn,Vật thể có khối lượng càng lớn thì quán tính càng lớn,"The greater the mass, the greater the inertia  ",วัตถุยิ่งมีมวลมาก ความเฉื่อยยิ่งมาก  ,"Semakin besar massa, semakin besar inersia  ","Mas mabigat ang bagay, mas malaki ang inertia  ","Semakin berat sesuatu benda, semakin besar inersia  ",Greater force leads to greater inertia,"Lực tác động càng lớn, quán tính càng lớn",Greater force leads to greater inertia,แรงมาก อินมาก,"Semakin besar gaya, semakin besar inersia","Mas malakas ang puwersa, mas malaki ang inertia","Lebih kuat daya, lebih besar inersia  ",5,5,5,5,5,5,5,"The greater the speed of the object, the greater the inertia","Vật thể tốc độ càng lớn, quán tính càng lớn","The greater the speed of the object, the greater the inertia",วัตถุที่มีความเร็วสูง ยิ่งมีความเฉื่อยมากขึ้น,"Semakin besar kecepatan benda, semakin besar inersia","Mas mabilis ang bagay, mas malaki ang inertia","Semakin tinggi kelajuan objek, semakin tinggi inersia",,
273,2,50,349,<General knowledge> What is the 12th digit of pi?  ,<Kiến thức chung> Số pi có chữ số thứ 12 là bao nhiêu?,<General knowledge> What is the 12th digit of pi?  ,<ความรู้ทั่วไป> ตัวเลขตำแหน่งที่ 12 ของค่าพายคืออะไร?  ,<Pengetahuan umum> Apa digit ke-12 dari pi?  ,<Pangunahing kaalaman> Ano ang ika-12 na digit ng pi?  ,Apakah angka ke-12 dalam nombor pi?,9,9,9,9,9,9,9,9,8,9,10,11,12,12,MAC  ,MAC,MAC  ,MAC  ,MAC  ,MAC  ,MAC  ,4,4,4,4,4,4,4,,
274,2,50,354,<General knowledge> What does LAN stand for?  ,<Kiến thức chung> Mạng LAN viết tắt của từ gì?,<General knowledge> What does LAN stand for?  ,<ความรู้ทั่วไป> LAN ย่อมาจากอะไร?  ,<Pengetahuan umum> Apa kepanjangan LAN?  ,<Pangunahing kaalaman> Ano ang ibig sabihin ng LAN?  ,LAN ialah singkatan bagi apa?,LAN,LAN,LAN,LAN,LAN,LAN,LAN  ,ADSL,ADSL,ADSL,ADSL,ADSL,ADSL,ADSL  ,38,38,38,38,38,38,38,Internet,Internet,Internet,อินเทอร์เน็ต,Internet,Internet,Internet,,
275,2,50,357,<General knowledge> What is the maximum safe voltage for humans?  ,<Kiến thức chung> Điện áp an toàn tối đa đối với con người là bao nhiêu?,<General knowledge> What is the maximum safe voltage for humans?  ,<ความรู้ทั่วไป> แรงดันไฟฟ้าที่ปลอดภัยสูงสุดสำหรับมนุษย์คือเท่าใด?  ,<Pengetahuan umum> Berapa tegangan maksimum yang aman untuk manusia?  ,<Pangunahing kaalaman> Ano ang pinakamataas na ligtas na boltahe para sa tao?  ,Berapakah voltan maksimum yang selamat untuk manusia?,36,36,36,36,36,36,36,37,37,37,37,37,37,37,Calcium  ,Canxi,Calcium  ,แคลเซียม  ,Kalsium  ,Kaltsyum  ,Kalsium  ,40,40,40,40,40,40,40,,
276,3,50,351,<General knowledge> Which natural element is called the “intelligent element”?  ,<Kiến thức chung> Yếu tố nào trong tự nhiên được gọi là “yếu tố thông minh”?,<General knowledge> Which natural element is called the “intelligent element”?  ,<ความรู้ทั่วไป> ธาตุใดในธรรมชาติที่เรียกว่า “ธาตุฉลาด”?  ,<Pengetahuan umum> Unsur alami mana yang disebut “unsur cerdas”?  ,<Pangunahing kaalaman> Aling natural na elemento ang tinatawag na “intelligent element”?  ,Unsur semula jadi manakah yang digelar “unsur bijak”?,I-ốt,I-ốt,Iodine  ,ไอโอดีน  ,Yodium  ,Iodine  ,Iodin  ,Iron  ,Sắt,Iron  ,เหล็ก  ,Besi  ,Bakal  ,Besi  ,Generating electricity  ,Phát điện,Generating electricity  ,การผลิตไฟฟ้า  ,Menghasilkan listrik  ,Nagpapalabas ng kuryente  ,Menghasilkan elektrik  ,Zinc,Kẽm,Zinc,สังกะสี,Seng,Zinc,Zink,,
277,3,50,352,<General knowledge> What are windmills in the Netherlands mainly used for?  ,<Kiến thức chung> Quạt gió ở Hà Lan chủ yếu được sử dụng để làm gì?,<General knowledge> What are windmills in the Netherlands mainly used for?  ,<ความรู้ทั่วไป> กังหันลมในเนเธอร์แลนด์ใช้ทำอะไรเป็นหลัก?  ,<Pengetahuan umum> Untuk apa kincir angin di Belanda terutama digunakan?  ,<Pangunahing kaalaman> Para saan pangunahing ginagamit ang mga windmill sa Netherlands?  ,Kipas angin di Belanda kebanyakannya digunakan untuk apa?,Thoát nước,Thoát nước,Drainage  ,การระบายน้ำ  ,Drainase  ,Alisan ng tubig  ,Salirkan air  ,Travel  ,Du lịch,Travel  ,ท่องเที่ยว  ,Wisata  ,Paglalakbay  ,Pengembaraan  ,Pyramid of Egypt  ,Pyramid of Egypt,Pyramid of Egypt  ,พีระมิดแห่งอียิปต์  ,Piramida Mesir  ,Pyramid ng Egypt  ,Piramid Mesir  ,Generate wind,Sinh phong,Generate wind,สร้างลม,Menghasilkan angin,Lumilikha ng hangin,Menghasilkan angin,,
278,3,50,353,<General knowledge> Which one is NOT one of the seven wonders of the world?  ,<Kiến thức chung> Cái nào không phải là một trong bảy kỳ quan thế giới?,<General knowledge> Which one is NOT one of the seven wonders of the world?  ,<ความรู้ทั่วไป> อันใดไม่ใช่หนึ่งในเจ็ดสิ่งมหัศจรรย์ของโลก?  ,<Pengetahuan umum> Mana yang bukan salah satu dari tujuh keajaiban dunia?  ,<Pangunahing kaalaman> Alin ang HINDI kabilang sa pitong kababalaghan ng mundo?  ,Yang manakah bukan salah satu daripada tujuh keajaiban dunia?,Tượng thần Zeus,Tượng thần Zeus,Statue of Zeus  ,รูปปั้นเทพซูส  ,Patung Zeus  ,Estatwa ni Zeus  ,Patung Zeus  ,Hanging Gardens of Babylon  ,Vườn treo Babylon,Hanging Gardens of Babylon  ,สวนลอยแห่งบาบิโลน  ,Taman Gantung Babilonia  ,Hanging Gardens ng Babylon  ,Taman Tergantung Babylon  ,Sun God  ,Sun God,Sun God  ,เทพเจ้าแห่งดวงอาทิตย์  ,Dewa Matahari  ,Diyos ng Araw  ,Dewa Matahari  ,Qin Shi Huang mausoleum terracotta warriors,Tần Thủy Hoàng lăng tượng binh mã,Qin Shi Huang mausoleum terracotta warriors,สุสานทหารดินเผาของชินซีฮวงตี้,Makam Prajurit Terracotta Qin Shi Huang,Libingan ng mga terracotta warriors ni Qin Shi Huang,Makam tentera terracotta Qin Shi Huang,,
279,3,50,354,<General knowledge> What is Venus in Roman mythology?  ,<Kiến thức chung> Venus trong thần thoại La Mã là gì?,<General knowledge> What is Venus in Roman mythology?  ,<ความรู้ทั่วไป> วีนัสในเทพนิยายโรมันคืออะไร?  ,<Pengetahuan umum> Apa Venus dalam mitologi Romawi?  ,<Pangunahing kaalaman> Ano ang Venus sa Romanong mitolohiya?  ,Venus dalam mitologi Rom ialah siapa?,Thần tình yêu và sắc đẹp,Thần tình yêu và sắc đẹp,God of love and beauty  ,เทพแห่งความรักและความงาม  ,Dewa cinta dan kecantikan  ,Diyos ng pag-ibig at kagandahan  ,Tuhan cinta dan kecantikan  ,God of wisdom  ,Thần trí tuệ,God of wisdom  ,เทพเจ้าแห่งปัญญา  ,Dewa kebijaksanaan  ,Diyos ng karunungan  ,Tuhan kebijaksanaan  ,Shaba Bee  ,Shaba Bee,Shaba Bee  ,Shaba Bee  ,Shaba Bee  ,Shaba Bee  ,Shaba Bee  ,Bright King,Minh Vương,Bright King,ราชาสว่าง,Raja Terang,Maliwanag na Hari,Raja Cerah,,
280,3,50,355,<General knowledge> What is the most dangerous bee in the world?  ,<Kiến thức chung> Con ong nguy hiểm nhất thế giới là gì?,<General knowledge> What is the most dangerous bee in the world?  ,<ความรู้ทั่วไป> ผึ้งที่อันตรายที่สุดในโลกคืออะไร?  ,<Pengetahuan umum> Apa lebah paling berbahaya di dunia?  ,<Pangunahing kaalaman> Ano ang pinaka-mapanganib na bubuyog sa mundo?  ,Apakah lebah paling berbahaya di dunia?,Hornet,Hornet,Hornet  ,ต่อหัวเสือ  ,Tawon besar (Hornet)  ,Hornet  ,Tebuan  ,Black honeybee  ,Con ong mật đen,Black honeybee  ,ผึ้งน้ำผึ้งสีดำ  ,Lebah madu hitam  ,Itim na pukyutan  ,Lebah hitam  ,Benjamin Franklin  ,Benjamin Franklin,Benjamin Franklin  ,เบนจามิน แฟรงคลิน  ,Benjamin Franklin  ,Benjamin Franklin  ,Benjamin Franklin  ,Indian bee,Ấn Độ ong,Indian bee,ผึ้งอินเดีย,Lebah India,Bubuyog ng India,Lebah India,,
281,3,50,356,<General knowledge> Who was the first to invent the electric generator during the Second Industrial Revolution?  ,<Kiến thức chung> Ai là người đầu tiên chế tạo máy phát điện trong cuộc cách mạng công nghiệp thứ hai?,<General knowledge> Who was the first to invent the electric generator during the Second Industrial Revolution?  ,<ความรู้ทั่วไป> ใครเป็นคนแรกที่ประดิษฐ์เครื่องกำเนิดไฟฟ้าในยุคปฏิวัติอุตสาหกรรมครั้งที่สอง?  ,<Pengetahuan umum> Siapa yang pertama kali menciptakan generator listrik dalam Revolusi Industri Kedua?  ,<Pangunahing kaalaman> Sino ang unang gumawa ng electric generator sa Ikalawang Rebolusyong Industriyal?  ,Siapakah orang pertama yang mencipta penjana elektrik dalam Revolusi Perindustrian Kedua?,Faraday,Faraday,Faraday  ,ฟาราเดย์  ,Faraday  ,Faraday  ,Faraday  ,Stephenson  ,Stephenson,Stephenson  ,สตีเฟนสัน  ,Stephenson  ,Stephenson  ,Stephenson  ,Iraq  ,Iraq,Iraq  ,อิรัก  ,Irak  ,Iraq  ,Iraq  ,Carl Benz,Carl · Benz,Carl Benz,คาร์ล เบนซ์,Carl Benz,Carl Benz,Carl Benz,,
282,3,50,357,<General knowledge> Which country has the largest oil reserves in the world?  ,<Kiến thức chung> Quốc gia nào có trữ lượng dầu mỏ lớn nhất thế giới?,<General knowledge> Which country has the largest oil reserves in the world?  ,<ความรู้ทั่วไป> ประเทศใดมีปริมาณสำรองน้ำมันมากที่สุดในโลก?  ,<Pengetahuan umum> Negara mana yang memiliki cadangan minyak terbesar di dunia?  ,<Pangunahing kaalaman> Aling bansa ang may pinakamalaking reserba ng langis sa mundo?  ,Negara manakah yang mempunyai simpanan minyak terbesar di dunia?,Saudi Arabia,Saudi Arabia,Saudi Arabia  ,ซาอุดีอาระเบีย  ,Arab Saudi  ,Saudi Arabia  ,Arab Saudi  ,Iran  ,Iran,Iran  ,อิหร่าน  ,Iran  ,Iran  ,Iran  ,Eiffel Tower  ,Eiffel Tower,Eiffel Tower  ,หอไอเฟล  ,Menara Eiffel  ,Eiffel Tower  ,Menara Eiffel  ,Cambodia,Cam-pu-chia,Cambodia,กัมพูชา,Kamboja,Cambodia,Kemboja,,
283,3,50,358,<General knowledge> Which famous building is NOT located in France?  ,<Kiến thức chung> Tòa nhà nổi tiếng nào không thuộc Pháp?,<General knowledge> Which famous building is NOT located in France?  ,<ความรู้ทั่วไป> อาคารที่มีชื่อเสียงใดไม่ตั้งอยู่ในประเทศฝรั่งเศส?  ,<Pengetahuan umum> Bangunan terkenal mana yang tidak berada di Prancis?  ,<Pangunahing kaalaman> Aling kilalang gusali ang HINDI matatagpuan sa France?  ,Bangunan terkenal manakah yang tidak terletak di Perancis?,Tháp nghiêng Pisa,Tháp nghiêng Pisa,Leaning Tower of Pisa  ,หอเอนเมืองปิซา  ,Menara Miring Pisa  ,Leaning Tower ng Pisa  ,Menara Condong Pisa  ,Gate of glory  ,Cổng vinh quang,Gate of glory  ,ประตูแห่งเกียรติยศ  ,Gerbang kejayaan  ,Gate ng kaluwalhatian  ,Gerbang kemuliaan  ,Control lifting  ,Điều khiển nâng hạ,Control lifting  ,ควบคุมการยก  ,Kontrol pengangkatan  ,Kontrol sa pag-angat  ,Kawalan mengangkat  ,Paris holy mother hospital,Paris thánh mẫu viện,Paris holy mother hospital,โรงพยาบาลแม่ศักดิ์สิทธิ์ปารีส,Rumah Sakit Perawan Suci Paris,Paris banal na ospital ng ina,Hospital ibu suci Paris,,
284,3,50,359,<General knowledge> What is the purpose of an airplane wing?  ,<Kiến thức chung> Cánh máy bay được thiết kế để làm gì?,<General knowledge> What is the purpose of an airplane wing?  ,<ความรู้ทั่วไป> ปีกของเครื่องบินออกแบบมาเพื่ออะไร?  ,<Pengetahuan umum> Untuk apa sayap pesawat dirancang?  ,<Pangunahing kaalaman> Para saan idinisenyo ang pakpak ng eroplano?  ,Sayap pesawat direka untuk tujuan apa?,Tăng lực nâng,Tăng lực nâng,Increase lift force  ,เพิ่มแรงยก  ,Meningkatkan gaya angkat  ,Dagdagan ang puwersa ng pag-angat  ,Tambahkan daya angkat  ,Direction control,Điều khiển hướng,Direction control,ควบคุมทิศทาง,Kontrol arah,Kontrol ng direksyon,Kawalan arah  ,(NH)4CO3  ,(NH)4CO3,(NH)4CO3  ,(NH)4CO3  ,(NH)4CO3  ,(NH)4CO3  ,(NH)4CO3  ,Nothing has effect,Không có cái gì tác dụng,Nothing has effect,ไม่มีอะไรมีผล,Tidak ada yang berpengaruh,Walang epekto,Tiada apa yang berkesan,,
285,3,50,360,<General knowledge> What is the exact molecular formula of ethanol?  ,<Kiến thức chung> Công thức phân tử chính xác của ethanol là gì?,<General knowledge> What is the exact molecular formula of ethanol?  ,<ความรู้ทั่วไป> สูตรโมเลกุลที่ถูกต้องของเอทานอลคืออะไร?  ,<Pengetahuan umum> Apa rumus molekul tepat dari etanol?  ,<Pangunahing kaalaman> Ano ang tamang molekular na formula ng ethanol?  ,Apakah formula molekul yang tepat bagi etanol?,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH,C2H5OH  ,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH,CH3COH  ,Y  ,Y,Y  ,Y  ,Y  ,Y  ,Y  ,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,(NH)4HCO3,,
286,3,50,361,<General knowledge> Which key is to the left of the “T” key on a standard keyboard?  ,<Kiến thức chung> Phím “T” trên bàn phím chuẩn có phím gì bên trái?,<General knowledge> Which key is to the left of the “T” key on a standard keyboard?  ,<ความรู้ทั่วไป> ปุ่มใดอยู่ทางซ้ายของปุ่ม “T” บนแป้นพิมพ์มาตรฐาน?  ,<Pengetahuan umum> Tombol apa yang berada di sebelah kiri tombol “T” pada keyboard standar?  ,<Pangunahing kaalaman> Aling key ang nasa kaliwa ng “T” key sa standard keyboard?  ,Apakah kekunci di sebelah kiri kekunci “T” pada papan kekunci standard?,R,R,R,R,R,R,R  ,H,H,H,H,H,H,H  ,Affects short waves  ,Ảnh hưởng đến sóng ngắn,Affects short waves  ,มีผลต่อคลื่นสั้น  ,Mempengaruhi gelombang pendek  ,Nakakaapekto sa maikling alon  ,Mempengaruhi gelombang pendek  ,E,E,E,E,E,E,E,,
287,3,50,362,<General knowledge> Where is the description about the effect of solar activity on Earth inaccurate?  ,<Kiến thức chung> Mô tả về ảnh hưởng của hoạt động mặt trời lên trái đất là không chính xác ở đâu?,<General knowledge> Where is the description about the effect of solar activity on Earth inaccurate?  ,<ความรู้ทั่วไป> คำอธิบายเกี่ยวกับผลกระทบของกิจกรรมดวงอาทิตย์ต่อโลกที่ไม่ถูกต้องอยู่ตรงไหน?  ,<Pengetahuan umum> Di mana deskripsi tentang pengaruh aktivitas matahari terhadap bumi tidak akurat?  ,<Pangunahing kaalaman> Saan hindi tama ang paglalarawan tungkol sa epekto ng solar activity sa mundo?  ,Pernyataan manakah yang tidak tepat mengenai kesan aktiviti suria terhadap bumi?,Ảnh hưởng đến sóng dài,Ảnh hưởng đến sóng dài,Affects long waves  ,มีผลต่อคลื่นยาว  ,Mempengaruhi gelombang panjang  ,Nakaaapekto sa mahabang alon  ,Mempengaruhi gelombang panjang  ,Affects climate  ,Ảnh hưởng đến khí hậu,Affects climate  ,ส่งผลต่อสภาพอากาศ  ,Mempengaruhi iklim  ,Nakaaapekto sa klima  ,Mempengaruhi iklim  ,Iodine can be used for skin disinfection  ,I-ốt có thể dùng để khử trùng ngoài da,Iodine can be used for skin disinfection  ,ไอโอดีนสามารถใช้ฆ่าเชื้อผิวหนัง  ,Yodium dapat digunakan untuk disinfeksi kulit  ,Maaaring gamitin ang iodine para sa disinfection ng balat  ,Iodin boleh digunakan untuk disinfeksi kulit  ,Storm is born from phenomena,Sinh ra bão từ hiện tượng,Storm is born from phenomena,เกิดพายุจากปรากฏการณ์,Badai lahir dari fenomena,Bagyo ay ipinanganak mula sa mga pangyayari,Badai lahir daripada fenomena,,
288,3,50,363,<General knowledge> What is an incorrect description about chemistry in everyday life?  ,<Kiến thức chung> Mô tả sai về hóa học trong đời sống là gì?,<General knowledge> What is an incorrect description about chemistry in everyday life?  ,<ความรู้ทั่วไป> คำอธิบายผิดเกี่ยวกับเคมีในชีวิตประจำวันคืออะไร?  ,<Pengetahuan umum> Apa deskripsi yang salah tentang kimia dalam kehidupan sehari-hari?  ,<Pangunahing kaalaman> Ano ang maling paglalarawan tungkol sa kemistri sa pang-araw-araw na buhay?  ,Pernyataan manakah yang salah mengenai kimia dalam kehidupan seharian?,Than hoạt tính có tác dụng khử mùi và diệt khuẩn,Than hoạt tính có tác dụng khử mùi và diệt khuẩn,Activated carbon deodorizes and disinfects  ,ถ่านกัมมันต์ช่วยดับกลิ่นและฆ่าเชื้อ  ,Karbon aktif menghilangkan bau dan membunuh bakteri  ,Ang activated carbon ay nagtatanggal ng amoy at pumapatay ng mikrobyo  ,Karbon teraktif membuang bau dan membunuh kuman  ,Aluminum alloy is widely used in high-speed railway construction  ,Hợp kim nhôm được sử dụng nhiều trong xây dựng đường sắt cao tốc,Aluminum alloy is widely used in high-speed railway construction  ,โลหะผสมอลูมิเนียมถูกใช้กันอย่างแพร่หลายในรถไฟความเร็วสูง  ,Paduan aluminium banyak digunakan dalam konstruksi kereta cepat  ,Ginagamit nang malawakan ang aluminum alloy sa pagtatayo ng high-speed rail  ,Aloi aluminium digunakan secara meluas dalam pembinaan kereta api berkelajuan tinggi  ,Van Gogh  ,Van Gogh,Van Gogh  ,แวนโก๊ะ  ,Van Gogh  ,Van Gogh  ,Van Gogh  ,High purity can be used only with crafting that senses battery,Cao thuần tịch có thể dùng với chế tác chỉ riêng cảm giác pin,High purity can be used only with crafting that senses battery,ความบริสุทธิ์สูงสามารถใช้กับการสร้างที่รับรู้แบตเตอรี่เท่านั้น,Kemurnian tinggi hanya bisa digunakan dengan kerajinan yang mendeteksi baterai,Mataas na kadalisayan ay maaari lamang gamitin sa paggawa na nakakaramdam ng baterya,Kemurnian tinggi hanya boleh digunakan dengan kraftangan yang mengesan bateri,,
289,3,50,364,<General knowledge> Who is the painter representing Fauvism?  ,<Kiến thức chung> Ai là họa sĩ đại diện cho chủ nghĩa dã thú?,<General knowledge> Who is the painter representing Fauvism?  ,<ความรู้ทั่วไป> ใครคือนักวาดภาพที่เป็นตัวแทนของลัทธิฟอวิสม์?  ,<Pengetahuan umum> Siapa pelukis yang mewakili Fauvisme?  ,<Pangunahing kaalaman> Sino ang pintor na kumakatawan sa Fauvism?  ,Siapakah pelukis yang mewakili fahaman Fauvisme?,Matisse,Matisse,Matisse  ,Matisse  ,Matisse  ,Matisse  ,Matisse  ,Picasso  ,Picasso,Picasso  ,ปิกัสโซ  ,Picasso  ,Picasso  ,Picasso  ,Camel Thorn  ,Camel Thorn,Camel Thorn  ,Camel Thorn  ,Camel Thorn  ,Camel Thorn  ,Camel Thorn  ,Loi Nak a,Lôi Nặc a,Loi Nak a,ลอย นัค อา,Loi Nak a,Loi Nak a,Loi Nak a,,
290,3,50,365,<General knowledge> Which plant reflects the acidity of the soil?  ,<Kiến thức chung> Cây nào phản ánh tính axit của đất?,<General knowledge> Which plant reflects the acidity of the soil?  ,<ความรู้ทั่วไป> พืชชนิดใดสะท้อนความเป็นกรดของดิน?  ,<Pengetahuan umum> Tanaman apa yang mencerminkan keasaman tanah?  ,<Pangunahing kaalaman> Aling halaman ang nagpapakita ng acidity ng lupa?  ,Pokok manakah yang mencerminkan keasidan tanah?,Iron Lily,Iron Lily,Iron Lily  ,ลิลี่เหล็ก  ,Lili Besi  ,Iron Lily  ,Lili Besi  ,Alkali  ,Kiềm,Alkali  ,ด่าง  ,Alkali  ,Alkali  ,Alkali  ,Magnified three times  ,Phóng đại gấp ba lần,Magnified three times  ,ขยายสามเท่า  ,Diperbesar tiga kali  ,Pinapataas ng tatlong beses  ,Diperbesarkan tiga kali  ,Reed grass,Cỏ lau,Reed grass,หญ้าคันธนู,Rumput alang-alang,Damo ng tangkay,Rumput buluh,,
291,3,50,366,<General knowledge> How does the angle on a set square change when magnified three times?  ,"<Kiến thức chung> Khi phóng đại ba lần, góc của thước tam giác sẽ thay đổi như thế nào?",<General knowledge> How does the angle on a set square change when magnified three times?  ,<ความรู้ทั่วไป> เมื่อตัววัดมุมขยายสามเท่า มุมจะเปลี่ยนแปลงอย่างไร?  ,<Pengetahuan umum> Bagaimana sudut penggaris segitiga berubah ketika diperbesar tiga kali?  ,<Pangunahing kaalaman> Paano nagbabago ang anggulo ng set square kapag pinalaki ng tatlong beses?  ,"Apabila diperbesar tiga kali, bagaimana sudut pembaris segi tiga akan berubah?",Góc không thay đổi,Góc không thay đổi,Angle remains unchanged  ,มุมไม่เปลี่ยน  ,Sudut tidak berubah  ,Hindi nagbabago ang anggulo  ,Sudut tidak berubah  ,Double up  ,Tăng gấp đôi,Double up  ,เพิ่มเป็นสองเท่า  ,Melipatgandakan  ,Doblihin  ,Gandakan  ,Cheetah  ,Cheetah,Cheetah  ,Cheetah  ,Cheetah  ,Cheetah  ,Cheetah  ,Angle of transformation,Góc độ biến hóa,Angle of transformation,มุมการเปลี่ยนแปลง,Sudut transformasi,Anggulo ng pagbabago,Sudut transformasi,,
292,3,50,367,"<General knowledge> Among fierce animals, which has the smallest heart?  ","<Kiến thức chung> Trong số các loài động vật hung dữ, con nào có trái tim nhỏ nhất?","<General knowledge> Among fierce animals, which has the smallest heart?  ",<ความรู้ทั่วไป> ในบรรดาสัตว์ดุร้าย สัตว์ใดมีหัวใจที่เล็กที่สุด?  ,"<Pengetahuan umum> Di antara hewan-hewan ganas, mana yang memiliki jantung terkecil?  ","<Pangunahing kaalaman> Sa mga mabangis na hayop, alin ang may pinakamaliit na puso?  ","Antara haiwan yang garang, haiwan manakah yang mempunyai jantung paling kecil?",Lion,Lion,Lion  ,สิงโต  ,Singa  ,Leon  ,Leon  ,Tiger  ,Hổ,Tiger  ,เสือ  ,Harimau  ,Tigre  ,Harimau  ,Aluminum,Aluminum,Aluminum,อะลูมิเนียม,Aluminium,Aluminyo,Aluminium,Wild boar,Lợn rừng,Wild boar,หมูป่า,Babi hutan,Baboy ramo,Babi hutan,,
